Drink Name,Type,Milk Type,To Stay/To Take Away,Size (oz),Calories,Protein,Sugar
Matcha Latte (Whole Milk),Tea,Whole Milk,To Stay,10,200,12,17g
Matcha Latte (Whole Milk),Tea,Whole Milk,To Take Away,12,240,14,20g
Matcha Latte (Non-Fat Milk),Tea,Non-Fat Milk,To Stay,10,130,12,17g
Matcha Latte (Non-Fat Milk),Tea,Non-Fat Milk,To Take Away,12,150,14,20g
Matcha Latte (Oat Milk),Tea,Oat Milk,To Stay,10,190,4,10g
Matcha Latte (Oat Milk),Tea,Oat Milk,To Take Away,12,220,5,12g
Matcha Latte (Almond Milk),Tea,Almond Milk,To Stay,10,100,3,8g
Matcha Latte (Almond Milk),Tea,Almond Milk,To Take Away,12,120,4,10g
Iced Matcha Latte (Whole Milk),Tea,Whole Milk,To Stay,10,120,7,10g
Iced Matcha Latte (Whole Milk),Tea,Whole Milk,To Take Away,12,150,9,12g
Iced Matcha Latte (Non-Fat Milk),Tea,Non-Fat Milk,To Stay,10,80,7,10g
Iced Matcha Latte (Non-Fat Milk),Tea,Non-Fat Milk,To Take Away,12,100,9,12g
Iced Matcha Latte (Oat Milk),Tea,Oat Milk,To Stay,10,110,3,6g
Iced Matcha Latte (Oat Milk),Tea,Oat Milk,To Take Away,12,140,3,8g
Iced Matcha Latte (Almond Milk),Tea,Almond Milk,To Stay,10,60,2,5g
Iced Matcha Latte (Almond Milk),Tea,Almond Milk,To Take Away,12,80,2,6g